pertanyaan,intent,kategori,solusi,pertanyaan_bersih
halo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,halo
HALO,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,halo
Halo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,halo
saya punya masalah: halo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah halo
bantuan! halo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu halo
"tolong, halo",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong halo
ada yang bisa bantu? halo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu halo
gimana ya halo?,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana ya halo
error: halo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error halo
"halo nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,halo nih bisa bantu
hi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,hi
HI,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,hi
Hi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hi
saya punya masalah: hi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah hi
bantuan! hi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu hi
"tolong, hi",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong hi
ada yang bisa bantu? hi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu hi
gimana ya hi?,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana ya hi
error: hi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,error hi
"hi nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hi nih bisa bantu
pagi,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,pagi
PAGI,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,pagi
Pagi,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,pagi
saya punya masalah: pagi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah pagi
bantuan! pagi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu pagi
"tolong, pagi",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,tolong pagi
ada yang bisa bantu? pagi,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu pagi
gimana ya pagi?,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,gimana ya pagi
error: pagi,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error pagi
"pagi nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,pagi nih bisa bantu
siang,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,siang
SIANG,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,siang
Siang,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,siang
saya punya masalah: siang,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah siang
bantuan! siang,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bantu siang
"tolong, siang",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong siang
ada yang bisa bantu? siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu siang
gimana ya siang?,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana ya siang
error: siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error siang
"siang nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,siang nih bisa bantu
sore,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,sore
SORE,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,sore
Sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,sore
saya punya masalah: sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,saya punya masalah sore
bantuan! sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu sore
"tolong, sore",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong sore
ada yang bisa bantu? sore,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu sore
gimana ya sore?,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,gimana ya sore
error: sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,error sore
"sore nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,sore nih bisa bantu
malam,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,malam
MALAM,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,malam
Malam,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,malam
saya punya masalah: malam,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah malam
bantuan! malam,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bantu malam
"tolong, malam",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong malam
ada yang bisa bantu? malam,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu malam
gimana ya malam?,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,gimana ya malam
error: malam,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error malam
"malam nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,malam nih bisa bantu
